Financial_Year,Date_of_Fund_Release,State,District,Department,Scheme_Name,Fund_Source,Implementing_Agency,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Utilization_Percent,Physical_Target_Units,Physical_Achievement_Units,Physical_Achievement_Percent,Beneficiaries_Target,Beneficiaries_Covered,Beneficiary_Coverage_Percent,Status
2024-25,2024-05-22,Bihar, Bhagalpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,236.45,123.44,74.26,60.16,216,129.0,59.72222222222222,2323,1605.0,69.09169177787345,Delayed
2024-25,2023-11-04,Tamil Nadu, Tiruchirappalli,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,390.35,288.8,245.74,85.09,337,335.0,99.40652818991099,2076,2062.0,99.32562620423893,Completed
2024-25,2022-02-03,Rajasthan,Ajmer,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),State Nodal Agency,386.65,272.68,237.85,87.23,312,311.0,99.67948717948718,2677,2553.0,95.36794919686216,Completed
2024-25,2022-04-23,Gujarat,Ahmedabad,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Urban Local Body (ULB),199.4,131.43,120.41,91.62,386,386.0,100.0,3415,3431.0,100.46852122986823,Completed
2022-23,2021-04-04,Maharashtra,Pune ,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,409.34,293.41,150.75,51.38,489,385.0,78.7321063394683,3136,2257.0,71.97066326530613,Ongoing
2024-25,2022-11-06,Tamil Nadu,Chennai,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,60.54,60.16,26.9,44.71,173,137.0,79.1907514450867,4538,3556.0,78.36051123843103,Delayed
2024-25,2021-11-08,Bihar,darbhanga,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,705.61,467.69,220.72,47.19,430,166.0,38.604651162790695,3900,1387.0,35.56410256410256,Delayed
2023-24,2021-08-22,Maharashtra, Nashik,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,447.86,340.06,314.66,92.53,470,470.0,100.0,2748,2761.0,100.4730713245997,Completed
2024-25,2024-01-22,Bihar,Darbhanga,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),State Nodal Agency,198.77,149.74,125.51,83.82,485,112.0,23.09278350515464,2572,559.0,21.73405909797823,Ongoing
2023-24,2022-01-12,Tamil Nadu,Salem,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),State Nodal Agency,409.27,378.7,329.66,87.05,423,423.0,100.0,1987,1991.0,100.20130850528435,Completed
2024-25,2024-12-06,Rajasthan, Ajmer,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,775.72,539.21,492.94,91.42,325,324.0,99.6923076923077,1789,1723.0,96.31078814980437,Completed
2023-24,2022-01-23,Uttar Pradesh,Varanasi,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,123.82,122.63,107.54,87.69,436,435.0,99.77064220183486,2547,2556.0,100.35335689045937,Completed
2022-23,2021-09-16,West Bengal,siliguri,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,55.18,52.74,31.44,59.61,103,72.0,69.90291262135922,4873,3081.0,63.22593884670634,Ongoing
2024-25,2024-07-30,West Bengal, Siliguri,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,438.16,248.73,233.88,94.03,377,375.0,99.46949602122017,2791,2794.0,100.10748835542816,Completed
2022-23,2022-10-27,Tamil Nadu,Coimbatore,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),State Nodal Agency,135.95,80.9,41.45,51.24,236,0.0,0.0,1007,1202.0,119.36444885799405,Ongoing
2024-25,2023-09-04,Rajasthan,Udaipur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,64.64,47.26,44.0,93.1,61,57.0,93.44262295081968,1002,850.0,84.83033932135729,Ongoing
2021-22,2022-11-15,Karnataka,Mysuru,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),State Nodal Agency,609.17,321.4,0.0,0.0,497,0.0,0.0,2731,0.0,0.0,Not Started
2022-23,2024-07-08,Madhya Pradesh,Ujjain,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),State Nodal Agency,267.79,141.62,0.0,0.0,453,0.0,0.0,3330,0.0,0.0,Not Started
2024-25,2021-04-19,Tamil Nadu,Salem,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,644.84,563.66,283.09,50.22,81,7.0,8.641975308641975,3835,330.0,8.604954367666231,Delayed
2022-23,2022-11-30,Tamil Nadu,Coimbatore,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Urban Local Body (ULB),290.99,282.82,252.92,89.43,269,28.0,10.408921933085502,3983,403.0,10.118001506402209,Ongoing
2022-23,2023-05-25,West Bengal,Kolkata,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),State Nodal Agency,634.29,317.58,133.78,42.12,331,245.0,74.01812688821752,2807,2053.0,73.13858211613822,Delayed
2023-24,2024-09-26,Tamil Nadu,Tiruchirappalli,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),State Nodal Agency,737.29,647.0,561.03,86.71,327,326.0,99.69418960244649,4302,4223.0,98.16364481636448,Completed
2024-25,2023-03-21,Gujarat,Vadodara,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,67.39,54.83,174.44,81.965,465,463.0,99.56989247311829,769,783.0,101.82054616384914,Completed
2023-24,2024-03-12,Kerala, Thrissur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),47.9,32.53,16.3,50.11,266,4.0,1.5037593984962405,1885,27.0,1.4323607427055705,Ongoing
2023-24,2024-03-23,Tamil Nadu,Madurai ,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),State Nodal Agency,359.63,233.5,104.64,44.81,415,375.0,90.36144578313254,1276,1094.0,85.73667711598746,Ongoing
2023-24,2021-12-21,Rajasthan,Kota,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,NGO / Partner Organisation,714.04,528.64,339.22,64.17,41,27.0,65.85365853658537,347,227.0,65.4178674351585,Ongoing
2023-24,2024-05-09,Kerala,Kochi,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),755.23,388.26,343.98,88.6,231,230.0,99.56709956709958,1180,1202.0,101.86440677966102,Completed
2023-24,2022-08-29,Karnataka,Bengaluru,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,269.2,261.58,229.73,87.82,66,4.0,6.0606060606060606,3467,211.0,6.085953273723681,Delayed
2024-25,2024-01-26,Gujarat,vadodara,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),State Nodal Agency,600.58,444.03,426.13,95.97,328,328.0,100.0,3664,3665.0,100.02729257641923,Completed
2021-22,2024-11-22,West Bengal, Kolkata,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,182.53,117.93,45.63,38.69,7,1.0,14.285714285714285,1601,219.0,13.678950655840099,Ongoing
2023-24,2021-04-08,Kerala,Kochi,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,579.24,523.77,324.55,61.96,220,206.0,93.63636363636364,3426,2969.0,86.66082895504962,Ongoing
2022-23,2022-01-14,Gujarat,Rajkot,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,80.27,75.24,65.92,87.61,485,485.0,100.0,1247,1180.0,94.6271050521251,Completed
2022-23,2023-10-24,West Bengal,Durgapur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,90.98,59.57,50.69,85.09,51,51.0,100.0,1867,1718.0,92.01928227102303,Completed
2023-24,2022-10-11,Madhya Pradesh,Bhopal,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),State Nodal Agency,358.24,318.5,253.2,79.5,330,297.0,90.0,1993,1705.0,85.54942298043152,Delayed
2021-22,2021-05-25,Maharashtra, Aurangabad,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Urban Local Body (ULB),746.98,480.66,0.0,0.0,280,0.0,0.0,391,0.0,0.0,Not Started
2022-23,2021-10-05,West Bengal,Durgapur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,453.33,367.87,351.98,95.68,496,496.0,100.0,2289,2085.0,91.08781127129751,Completed
2023-24,2023-05-19,Tamil Nadu,Chennai ,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,691.99,584.93,568.71,97.23,450,448.0,99.55555555555556,1190,1189.0,99.91596638655463,Completed
2023-24,2023-06-28,West Bengal,Durgapur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),State Nodal Agency,327.74,294.35,163.44,55.53,460,367.0,79.78260869565217,828,667.0,80.55555555555556,Ongoing
2021-22,2022-11-19,Rajasthan,Jodhpur,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),NGO / Partner Organisation,548.24,403.45,401.49,99.51,193,192.0,99.48186528497409,3941,3633.0,92.1847246891652,Completed
2023-24,2024-02-19,Maharashtra,pune,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),State Nodal Agency,299.87,180.67,159.72,88.4,275,275.0,100.0,1517,1528.0,100.7251153592617,Completed
2023-24,2023-11-05,Tamil Nadu,Chennai,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,State Nodal Agency,98.17,84.48,0.0,0.0,39,0.0,0.0,287,0.0,0.0,Not Started
2023-24,2023-11-27,West Bengal,Durgapur ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,710.6,631.77,453.94,71.85,55,32.0,58.18181818181818,4261,2307.0,54.14222013611828,Ongoing
2023-24,2024-01-03,Madhya Pradesh,jabalpur,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,275.27,264.07,174.44,81.965,300,298.0,99.33333333333333,352,330.0,93.75,Completed
2021-22,2024-10-31,Kerala,Thiruvananthapuram,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Urban Local Body (ULB),158.3,141.52,58.62,41.42,498,268.0,53.81526104417671,1059,586.0,55.33522190745986,Ongoing
2023-24,2025-01-09,Madhya Pradesh,Gwalior,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),State Nodal Agency,116.16,68.04,64.16,94.3,63,62.0,98.4126984126984,3771,3476.0,92.17714134181915,Completed
2021-22,2024-10-23,Bihar,Patna,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,235.66,142.52,96.95,68.03,37,16.0,43.24324324324324,4002,1601.0,40.00499750124937,Delayed
2021-22,2024-04-24,Maharashtra, Pune,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,332.69,332.07,0.0,0.0,151,129.0,85.43046357615894,2900,0.0,0.0,Not Started
2023-24,2024-12-09,Gujarat, Rajkot,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,773.99,441.22,439.95,99.71,66,64.0,96.96969696969697,637,558.0,87.59811616954474,Completed
2023-24,2022-05-27,Rajasthan,Jodhpur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,767.21,505.51,454.43,89.9,92,77.0,83.69565217391305,2848,2219.0,77.91432584269663,Ongoing
2023-24,2024-11-04,West Bengal,Durgapur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),284.6,260.34,248.72,95.54,271,269.0,99.2619926199262,263,248.0,94.29657794676805,Completed
2022-23,2024-11-21,Maharashtra,nagpur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,631.29,362.42,355.14,97.99,57,57.0,100.0,2494,2502.0,100.32076984763432,Completed
2024-25,2022-01-18,Rajasthan,Jaipur,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,State Nodal Agency,395.02,302.53,257.52,85.12,56,56.0,100.0,1563,1464.0,93.66602687140116,Completed
2022-23,2024-07-10,Rajasthan,Kota,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,175.48,94.48,93.8,99.28,142,140.0,98.59154929577466,2939,2641.0,89.86049676760803,Completed
2024-25,2021-05-24,Gujarat, Ahmedabad,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,241.95,198.21,120.12,60.6,302,115.0,38.079470198675494,2917,1036.0,35.51594103531025,Ongoing
2022-23,2022-08-03,Uttar Pradesh,varanasi,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,597.27,303.21,268.06,88.41,33,31.0,93.93939393939394,4790,4357.0,90.96033402922755,Completed
2022-23,2021-06-01,West Bengal,howrah,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),41.17,37.53,19.27,51.35,495,86.0,17.373737373737374,4338,710.0,16.366989396035038,Ongoing
2021-22,2024-08-15,Karnataka,Mysuru,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),NGO / Partner Organisation,312.98,185.97,164.45,88.43,48,48.0,100.0,1514,1465.0,96.76354029062088,Completed
2021-22,2022-02-18,Tamil Nadu,Salem,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,297.06,291.38,174.44,81.965,128,43.0,33.59375,1526,532.0,34.862385321100916,Ongoing
2022-23,2024-06-04,Kerala,Kollam,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,736.44,480.7,462.3,96.17,244,243.0,99.59016393442623,3946,1202.0,30.461226558540293,Completed
2022-23,2025-03-24,Uttar Pradesh,Lucknow,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,54.41,40.86,34.61,84.7,410,223.0,54.390243902439025,2095,1074.0,51.26491646778043,Ongoing
2024-25,2024-03-01,West Bengal,Asansol,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Urban Local Body (ULB),356.79,210.49,154.07,73.2,170,114.0,67.05882352941175,1160,747.0,64.39655172413794,Ongoing
2024-25,2024-03-08,Maharashtra, Kolhapur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),State Nodal Agency,554.88,523.88,174.44,81.965,381,380.0,99.73753280839895,4730,4346.0,91.88160676532769,Completed
2023-24,2023-03-22,Tamil Nadu,Coimbatore,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,691.45,539.49,0.0,0.0,258,0.0,0.0,366,0.0,0.0,Not Started
2023-24,2021-08-17,Bihar,bhagalpur,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,425.08,421.55,415.9,98.66,127,125.0,98.4251968503937,4013,4011.0,99.95016197358585,Completed
2023-24,2021-06-11,Kerala,Kollam,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,714.22,398.9,322.44,80.83,257,239.0,92.99610894941634,3095,2863.0,92.50403877221325,Delayed
2024-25,2022-07-11,Rajasthan, Kota,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,Urban Local Body (ULB),714.0,609.18,584.19,95.9,67,66.0,98.50746268656717,3205,3043.0,94.94539781591264,Completed
2023-24,2021-11-05,Maharashtra,Nashik ,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Gram Panchayat,119.4,64.65,21.84,33.78,338,155.0,45.857988165680474,2664,1103.0,41.4039039039039,Ongoing
2021-22,2023-05-03,Gujarat,Ahmedabad,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,69.39,40.69,32.83,80.68,413,266.0,64.40677966101694,3352,2010.0,59.96420047732697,Ongoing
2022-23,2023-09-22,Rajasthan,jodhpur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),644.46,323.08,316.19,97.87,353,352.0,99.71671388101983,3841,3608.0,93.93387138765947,Completed
2024-25,2021-10-27,Bihar,Bhagalpur,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,421.75,229.08,179.67,78.43,248,87.0,35.08064516129033,1396,500.0,35.816618911174785,Ongoing
2021-22,2024-11-28,Kerala,Thrissur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),State Nodal Agency,277.33,220.84,124.44,56.35,455,161.0,35.38461538461539,3180,1169.0,36.76100628930817,Ongoing
2023-24,2021-05-21,Kerala, Kollam,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),NGO / Partner Organisation,212.57,146.51,131.55,89.79,261,259.0,99.23371647509579,4152,3802.0,91.57032755298651,Completed
2022-23,2022-08-15,Madhya Pradesh, Ujjain,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Gram Panchayat,233.44,196.35,180.38,91.87,251,249.0,99.20318725099602,4489,4359.0,97.10403207841391,Completed
2022-23,2024-03-18,Madhya Pradesh,Gwalior,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,585.29,538.25,262.29,48.73,493,443.0,89.8580121703854,549,453.0,82.5136612021858,Delayed
2022-23,2024-02-01,Uttar Pradesh,Varanasi ,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),State Nodal Agency,260.79,186.54,0.0,0.0,326,0.0,0.0,2849,0.0,0.0,Not Started
2021-22,2024-04-02,Rajasthan,Kota,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,204.14,143.04,129.88,90.8,398,396.0,99.49748743718592,2349,2355.0,100.25542784163474,Completed
2021-22,2023-08-21,Maharashtra,Nashik,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,42.42,27.43,11.15,40.65,186,15.0,8.064516129032258,466,35.0,7.510729613733906,Ongoing
2022-23,2024-09-10,Tamil Nadu,Coimbatore,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,666.56,580.84,568.85,97.94,133,129.0,96.99248120300751,1262,1273.0,100.8716323296355,Completed
2024-25,2022-08-09,Uttar Pradesh,agra,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),214.64,189.73,161.13,84.93,393,111.0,28.24427480916031,1223,358.0,29.27228127555192,Delayed
2022-23,2021-04-08,Tamil Nadu,Coimbatore,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Urban Local Body (ULB),270.05,222.11,0.0,0.0,334,129.0,38.622754491017965,2799,0.0,0.0,Not Started
2024-25,2023-08-12,Tamil Nadu,chennai,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,129.35,97.29,35.99,36.99,63,61.0,96.82539682539682,4597,4145.0,90.16750054383293,Ongoing
2021-22,2024-07-22,Karnataka,Bengaluru,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),NGO / Partner Organisation,443.79,432.16,386.89,89.52,478,476.0,99.581589958159,3241,3246.0,100.15427337241591,Completed
2022-23,2024-05-14,Maharashtra,Nagpur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,102.57,65.2,45.7,70.09,409,317.0,77.50611246943765,1539,1236.0,80.31189083820662,Ongoing
2024-25,2023-07-01,Rajasthan,Jodhpur,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),State Nodal Agency,656.56,388.43,179.15,46.12,145,123.0,84.82758620689656,2300,1899.0,82.56521739130434,Ongoing
2022-23,2024-07-04,Maharashtra,aurangabad,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,134.35,68.47,44.42,64.88,110,53.0,48.18181818181818,4223,2067.0,48.94624674402084,Ongoing
2021-22,2023-01-01,Bihar, Bhagalpur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,719.02,556.75,543.71,97.66,336,285.0,84.82142857142857,2959,2419.0,81.75059141601892,Delayed
2023-24,2025-03-26,Bihar,Patna,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,563.37,397.19,0.0,0.0,221,0.0,0.0,3933,0.0,0.0,Not Started
2024-25,2023-09-25,Uttar Pradesh,Kanpur,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,NGO / Partner Organisation,331.56,203.14,143.57,70.68,343,203.0,59.183673469387756,1405,761.0,54.163701067615655,Ongoing
2021-22,2022-04-23,Bihar,Bhagalpur,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),State Nodal Agency,370.59,252.29,241.35,95.66,318,316.0,99.37106918238993,4139,4146.0,100.1691229765644,Completed
2024-25,2021-05-29,Kerala,Thrissur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,778.99,461.33,333.11,72.21,249,223.0,89.5582329317269,2249,2114.0,93.99733214762117,Ongoing
2023-24,2021-05-02,Gujarat, Surat,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,390.04,206.02,67.43,32.73,409,204.0,49.877750611246945,1221,1202.0,98.44389844389845,Delayed
2024-25,2025-03-17,West Bengal,Asansol,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,179.06,109.7,52.91,48.23,107,25.0,23.364485981308412,815,195.0,23.92638036809816,Delayed
2023-24,2021-07-27,Madhya Pradesh,Jabalpur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Urban Local Body (ULB),789.37,664.78,577.83,86.92,309,308.0,99.67637540453075,4622,4636.0,100.30289917784509,Completed
2022-23,2022-05-28,West Bengal,Durgapur ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,478.12,336.2,322.55,95.94,194,192.0,98.96907216494846,434,415.0,95.6221198156682,Completed
2024-25,2022-01-04,Madhya Pradesh,Gwalior ,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),State Nodal Agency,756.53,675.32,587.99,87.07,354,129.0,36.440677966101696,2140,2119.0,99.01869158878505,Completed
2024-25,2023-05-21,Maharashtra,pune,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,50.18,34.71,29.5,84.99,361,361.0,100.0,406,398.0,98.0295566502463,Completed
2024-25,2024-06-04,Bihar, Bhagalpur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,628.69,521.78,0.0,0.0,85,129.0,151.76470588235293,1692,0.0,0.0,Not Started
2023-24,2025-01-12,Gujarat,Vadodara,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,77.32,57.63,30.03,52.11,114,96.0,84.21052631578947,2218,1862.0,83.94950405770965,Delayed
2022-23,2022-06-19,Karnataka,belagavi,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,590.44,534.4,336.88,63.04,227,63.0,27.75330396475771,1928,532.0,27.593360995850624,Ongoing
2024-25,2023-01-20,Rajasthan, Udaipur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,State Nodal Agency,63.83,40.51,39.55,97.63,300,298.0,99.33333333333333,185,176.0,95.13513513513514,Completed
2024-25,2021-05-10,Uttar Pradesh, Varanasi,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,119.32,78.63,31.72,40.34,288,86.0,29.86111111111111,431,126.0,29.23433874709977,Delayed
2023-24,2025-02-04,Kerala,Kollam ,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,49.74,39.01,35.28,90.44,91,4.0,4.395604395604396,1526,63.0,4.128440366972478,Delayed
2022-23,2021-11-09,Tamil Nadu,Madurai,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),NGO / Partner Organisation,354.88,289.7,195.06,67.33,73,69.0,94.52054794520548,2729,1202.0,44.04543788933675,Delayed
2024-25,2024-04-19,Rajasthan,Udaipur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),696.7,381.71,342.44,89.71,491,489.0,99.59266802443992,1256,1147.0,91.32165605095541,Completed
2023-24,2024-04-26,Uttar Pradesh,Agra ,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,316.68,285.63,155.02,54.27,125,121.0,96.8,4711,4346.0,92.25217575886224,Delayed
2023-24,2022-04-08,Maharashtra,Nashik,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),State Nodal Agency,180.68,179.61,159.78,88.96,428,426.0,99.53271028037383,2390,2392.0,100.08368200836819,Completed
